time	Pump D:Actual flow [µL/min]
00:07:07.477	0.000
00:07:07.897	0.013
00:07:08.747	-0.020
00:07:09.167	0.000
00:07:09.587	-0.007
00:07:10.437	0.013
00:07:10.857	0.000
00:07:11.277	0.025
00:07:11.697	0.006
00:07:12.957	0.000
00:07:13.377	0.013
00:07:14.217	0.006
00:07:14.637	-0.007
00:07:15.057	0.000
00:07:15.477	-0.007
00:07:16.797	0.006
